KPKOODI;x6;x5;x4;x3;x2;x1;key
1;;-2.00E-11;0.00000001;-0.000002;0.0002;0.0021;11_2_2
2;1.00E-12;-6.00E-10;0.0000001;-0.000009;0.0004;0.0021;11_3_2
3;;-4.00E-11;0.00000002;-0.000004;0.0003;-0.0028;11_4_2
4;1.00E-12;-5.00E-10;0.00000009;-0.000007;0.0003;-0.0011;11_5_2
5;;4.00E-11;-0.000000009;-0.0000003;0.0001;-0.0008;21_2_2
1;;;0.000000005;-0.000001;0.00009;0.0017;21_3_2
2;;;0.000000005;-0.000001;0.00009;0.0017;21_4_2
3;;;0.000000009;-0.000002;0.0001;0.0007;21_5_2
4;;;;0.0000002;0.000002;0.0031;31_2_2
5;;;;0.0000001;-0.0000008;0.0028;31_3_2
1;;6.00E-11;-0.00000001;0.0000004;0.000005;0.0038;31_4_2
2;;6.00E-11;-0.00000001;0.0000004;0.000005;0.0038;31_5_2
3;;1.00E-10;-0.00000003;0.000003;-0.0001;0.0052;32_2_2
4;6.00E-12;-0.000000001;0.0000001;-0.000007;0.0002;0.003;32_3_2
5;2.00E-12;-5.00E-10;0.00000004;-0.000001;-0.000009;0.0053;32_4_2
1;;8.00E-11;-0.000000007;0.00000009;0.00001;0.0044;32_5_2
2;;8.00E-11;-0.000000007;0.00000009;0.00001;0.0044;40_2_2
3;;1.00E-10;-0.000000009;0.0000001;0.00002;0.0044;40_3_2
4;9.00E-12;-0.000000002;0.0000002;-0.000008;0.0001;0.004;40_4_2
5;9.00E-12;-0.000000002;0.0000002;-0.000008;0.0001;0.004;51_2_2
